47418,1227894,9861464,9931941
4999233,5014490,5050429,5189911
70115,2273959,9265664,9458448
100456,2068101,9321990,9577040
116406,2851977,9033919,9065918
177367,1007834,9883382,9998775
221001,1556233,9609657,9681574
359633,1741306,9403149,9564241
390900,2332658,9151347,9192736
423166,2067309,9258508,9319161
433048,1642122,9463686,9529184
450651,2934130,8823582,8859454
472498,1443476,9522469,9629629
732658,2571507,8858509,8905593
775758,2228292,9013390,9051113
781334,5008394,7548453,7729172
796538,2489077,8879674,8902034
804320,2743799,8742411,8778051
815265,4044475,7925785,8282922
834375,3376027,8413684,8443785
940526,2313971,8898501,8915762
960149,3119396,8442042,8546554
978033,5173597,7317098,7598543
981013,3719822,8029166,8338030
985257,1930345,9048128,9104193
1043423,3981681,8004435,8039086
1050253,2779268,8604998,8633027
1125976,3470877,8170233,8301051
1152989,1229589,9292891,9392266
1291209,2567312,8574232,8635980
1308746,2878468,8407638,8473925
1329460,3122868,8267409,8348877
1401730,5568876,6897194,7199822
1420614,3737970,7880684,8029251
1556743,2177512,8651538,8682818
1591858,2656345,8395643,8424882
1618372,4727361,7308610,7413745
1647334,2280780,8523907,8615862
1654277,4079517,7387482,7947191
1673204,2339666,8447942,8606903
1678920,3588742,7651777,8147739
1689977,2960877,8166604,8250337
1737318,2099059,8588257,8643970
1758964,1964021,8654140,8691643
1771064,1926967,8664528,8706097
1835057,2184198,8483162,8565736
1864020,4005223,7149554,8049706
1904905,2844510,8100515,8217256
1926433,2501163,8272580,8368770
1956783,3513576,7715776,7882320
1994137,4955757,6987969,7130596
2004365,6221412,6379249,6463433
2102190,2137493,8400131,8427540
2118230,3709733,7468994,7770275
2118810,5233102,6579460,7136358
2155271,3472294,7414740,8025168
2168985,2507361,8149586,8242615
2185856,3132934,7787706,7960682
2211625,4069396,7369701,7417565
2257377,2782611,7918539,8109442
2258626,4368909,6931981,7509201
2275616,2299516,8186286,8306251
2282024,2595408,7983043,8208292
2291599,3181629,7761490,7833994
2306045,3323198,7566201,7872721
2325877,5007934,6762389,6972797
2349956,4338990,7091813,7286827
2359996,5755096,6401551,6552312
2373183,3095076,7550592,8049124
2391937,3145094,7341116,8190479
2432371,4441016,6833985,7361573
2474263,2874547,7740854,7977524
2499218,6100877,6125433,6342931
2504998,4909671,6814135,6838990
2513326,3433081,7535653,7585129
2596909,4018805,7192271,7260005
2641427,3421221,7269261,7735099
2703710,5186560,6427397,6750243
2713896,4390761,6965237,6997151
2719168,3289981,7349632,7709269
2727619,3594715,7293888,7451347
2765390,3286250,7218657,7797969
2776162,3426894,7288174,7577253
2777188,3907143,7028850,7355315
2806695,3004999,7183788,8073422
2875449,5832912,6122865,6236260
2947892,4511812,6705901,6903015
2958482,4565998,6516682,7027185
2972032,3520027,7077129,7498032
2991494,5202949,6396512,6476589
3007596,4047215,6883802,7129122
3013750,4091562,6751280,7210870
3053428,4373203,6545852,7095339
3074577,4718836,6425707,6847900
3110038,4100650,6599643,7257734
3179851,4073291,6843644,6971605
3206381,4088558,6831836,6940701
3260231,3536733,6757037,7513520
3262903,4767169,6342621,6694911
3269203,4368137,6434885,6996058
3301762,3851752,6848231,7066017
3306188,3937377,6873584,6950780
3337037,5162045,6083228,6485446
3376613,5293169,6072944,6326059
3377095,4092518,6723097,6876269
3384441,4292208,6454481,6936931
3406394,4314412,6517665,6829205
3423581,5575109,5888498,6180643
3444009,5166274,6198541,6258901
3460346,4044964,6740891,6822353
3468528,5494778,6007973,6096613
3498488,4441285,6453958,6673677
3504430,5318331,6049021,6196925
3515821,4064742,6698381,6789788
3542989,4387856,6525865,6610686
3567979,5644423,5730134,6125703
3594337,5791862,5837633,5844736
3638771,3993156,6639853,6797028
3657835,4761625,6288647,6360890
3683409,5040981,6007815,6335762
3712893,4309350,6506720,6540035
3739689,4883523,6144317,6299485
3764477,5003005,6139294,6160849
3768768,4474720,6367556,6457859
3776510,4318013,6402466,6571010
3777538,4844857,6168837,6276997
3787643,3944276,6581892,6753943
3802867,4212024,6367315,6685015
3837612,4944404,6124610,6161479
3863797,4250807,6411224,6542767
3867413,3904849,6414409,6881689
3867683,4110929,6489040,6600047
3897877,4814230,6022514,6333387
3976510,4394956,6298221,6397568
3991319,4598613,6166099,6311036
4012012,5485241,5612026,5957950
4034104,5340766,5766802,5926692
4066001,4243929,6347444,6410750
4169315,4990749,5887766,6020397
4182188,5110902,5828009,5946319
4212372,4402891,6197104,6256658
4230450,4978640,5885049,5973518
4262564,5355200,5560007,5889916
4268725,5269161,5630687,5898572
4270726,4359385,6061824,6375612
4284096,5098397,5572451,6112471
4286590,4543058,6082071,6156445
4304266,4844303,5910128,6010163
4312743,4635164,5999842,6120351
4383562,5437603,5566652,5679903
4433397,5395142,5440653,5798538
4456427,5410667,5450051,5750781
4647713,4960421,5676813,5782690
4707509,5344635,5480289,5536450
4707970,5176541,5407365,5776972
4710755,4821129,5673352,5863637
4746749,4955935,5525054,5839339
4765525,5177462,5268022,5856817
4840506,5180980,5212544,5833454
4901004,5019397,5335671,5811774
4956252,5162520,5218778,5729793
4970792,5337070,5375465,5384812
5069151,5249884,5371597,5377474
3749114,5404006,5523305,6053178
3230095,4146978,4505449,4908578
26067,344208,1012057,9791898,9892917
40359,297276,1018989,9796158,9915927
54505,936663,2122018,8963751,8990758
56875,139086,2066752,9304489,9500188
66427,875065,1802665,9143643,9179916
78029,315144,2052051,9279377,9343930
82018,128078,1007361,9880240,9969683
88854,610301,874798,9707116,9787055
98588,287008,1593103,9519825,9569031
167598,454615,1396192,9424345,9625482
168181,1257002,1715726,8948549,8979035
174493,351392,2896956,8793940,8851388
176035,502187,1370084,9482259,9538422
180423,993908,1986822,8933715,8972612
181357,557743,875760,9690374,9762255
202169,1069554,1446932,9154985,9193793
220405,550808,1024966,9604811,9667933
228348,517423,2702293,8791537,8828703
233921,2946003,3263503,7264394,7359842
247800,569296,791955,9695732,9764099
262276,599765,2006092,9041435,9157880
285385,508844,1865988,9163281,9244509
319477,402672,867908,9701298,9777633
322674,760006,2022369,8969709,8992459
