264,2065,2647,7503,7785,9738,9998
460,2152,3936,6651,7261,9607,9933
806,2187,2266,7514,8033,9335,9859
842,2189,3787,6978,7046,9446,9712
955,2208,2524,7498,7770,9116,9929
1330,2234,3590,6785,7391,8972,9698
1539,2239,2584,7543,7634,8906,9555
1581,2249,3489,7047,7215,8871,9548
1727,2265,4035,6609,7091,8784,9489
1729,2282,2899,7179,7640,9000,9271
1764,2341,4938,6207,6514,8713,9523
1913,2360,2655,7468,7517,8985,9102
2008,2362,2452,6858,8328,8930,9062
2103,2368,4224,6470,6938,8817,9080
2398,2446,4999,5786,6817,8751,8803
2401,2530,3185,6769,7645,8598,8872
2449,2652,4324,6426,6801,8536,8812
2451,3132,5158,6011,6380,8395,8473
2467,3295,5318,5888,6327,7949,8756
2486,3607,4165,6346,7003,8167,8226
2513,2569,3804,7159,7759,7891,8305
2568,3508,3888,6883,7041,7907,8205
2591,2905,3934,6643,6967,7861,9099
2609,4751,5458,5884,6049,7515,7734
2644,3441,4951,6414,7309,7501,7740
2685,3643,5439,6695,6977,7202,7359
2750,4691,5542,5622,6937,7093,7365
2779,2873,5557,7064,7139,7284,7304
2781,2830,5563,7054,7068,7321,7383
16,445,2786,4061,6536,6617,9560,9979
47,141,2807,4070,6136,6987,9857,9955
61,1068,2825,4479,5906,6790,9218,9653
119,602,2836,3820,6270,7074,9401,9878
152,287,2842,3766,6416,6976,9634,9927
187,657,2923,4039,6364,6674,9283,9873
239,1170,2956,5130,5512,6402,9017,9574
256,590,2965,4243,6112,6680,9260,9894
269,1528,2972,4408,5926,6694,8731,9472
318,823,2981,3778,6302,6939,9032,9827
338,455,3029,3495,6447,7029,9398,9809
351,441,3047,4272,6287,6394,9420,9788
370,762,3075,3520,6200,7205,9061,9807
376,2720,3081,4264,6210,6445,7691,9213
399,1476,3083,3147,6033,7737,8543,9582
402,3096,3226,4815,5730,6359,8025,8347
406,646,3125,3588,5801,7486,9450,9498
443,917,3134,3592,6613,6661,8961,9679
484,881,3179,3962,5941,6918,8974,9661
509,1514,3239,3858,6425,6478,8373,9604
562,2419,3293,4740,5871,6096,8190,8829
575,1038,3333,5362,5492,5813,8704,9683
584,2835,3334,3560,6405,6701,8257,8324
623,1782,3343,4660,5659,6338,8242,9353
691,965,3398,4245,5675,6682,8748,9596
699,2096,3440,5129,5217,6214,8365,8840
707,821,3459,4528,5767,6246,9127,9345
721,1027,3598,3974,6167,6261,8777,9475
751,1607,3619,4667,5521,6188,8599,9043
774,1269,3636,4469,5858,6037,8505,9452
809,1918,3679,5081,5489,5750,8425,8848
843,929,3713,4689,5784,5814,8628,9600
850,3018,3720,3815,6053,6412,7545,8587
885,1643,3722,3797,5922,6559,8139,9333
900,970,3791,5013,5523,5673,8923,9207
904,1735,3812,4423,5665,6100,8426,8935
906,1096,3906,4139,5764,6191,8389,9609
959,3915,3932,5125,5334,5626,7374,7735
961,1203,3943,4652,5495,5910,8515,9321
986,3080,3947,4163,5498,6392,7769,8165
1031,1397,3955,4268,4385,4388,8438,9134
1120,1454,4009,4783,5460,5748,8459,8967
1137,1942,4011,4896,5503,5590,8381,8540
1146,1811,4036,4672,5629,5663,7915,9128
1167,1256,4136,4793,5229,5842,8413,9164
1190,2934,4209,4947,5223,5621,7814,8062
1286,3274,4249,4634,5043,6070,7584,7856
1287,1741,4254,4570,5018,6158,7719,9253
1325,1875,4285,4990,5280,5445,7837,8963
1327,2100,4348,4586,4886,6180,8250,8323
1386,1911,4364,4803,4919,5914,7520,9183
1398,2237,4378,4644,4931,6047,8122,8243
1426,4448,4569,4659,5000,5496,6935,6980
1428,2284,4486,4584,5300,5630,7348,8940
1439,3349,4497,4848,4994,5661,7488,7724
1451,4225,4508,4731,5185,5576,7004,7320
1475,1634,4557,4690,5118,5635,8131,8760
1491,3178,4560,4948,5161,5331,7453,7878
3,30,245,1513,2372,7675,8440,9814,9908
7,253,276,1531,1770,8229,8470,9553,9911
8,76,361,1567,3414,7394,7625,9630,9925
22,423,706,1571,3929,7210,7290,9165,9684
36,120,201,1586,2470,7772,8172,9705,9938
48,77,592,1610,2649,7541,8200,9383,9900
50,111,599,1619,1678,8125,8578,9337,9903
62,587,801,1637,2253,7820,8290,8660,9890
191,298,438,1647,2910,7457,7986,9306,9767
229,284,495,1659,1690,7994,8657,9188,9804
230,503,1660,1672,2970,7234,8136,8492,9103
258,331,1115,1661,2299,7972,8068,8577,9719
293,581,846,1692,2939,7306,8063,8639,9641
324,1113,1299,1710,3652,7172,7466,8575,8689
348,386,664,1719,1908,7911,8462,9022,9580
556,776,989,1726,2225,7622,8427,8508,9171
559,608,668,1731,4241,6932,7096,8818,9347
803,1160,1223,1752,2765,7662,7821,8296,8518
902,1419,1651,1766,4133,7028,7073,7992,8036
1057,1787,2269,2461,3352,6308,7014,7804,7948
1698,1797,2940,3310,3435,5897,6155,7372,7396
1709,1763,1810,1994,3146,7044,7334,7490,7710
1822,1926,2627,2679,3356,5823,6268,7555,7944
1825,1915,2388,2878,3182,5610,5942,7729,8531
1830,2454,2520,3292,3457,5086,5711,7811,7839
1860,2465,3210,3264,4433,5514,5547,6742,6965
1870,2595,2660,3410,4115,4640,5240,7447,8023
1873,2601,3121,3204,5338,5736,5812,6081,6234
1895,2748,3835,3899,4181,4550,5337,6615,6940
1929,2813,3275,3669,4222,5095,5148,5889,7960
1937,2906,2963,3088,3692,5038,5219,7533,7624
1940,2335,3122,4117,4118,4260,4383,7577,8148
1941,2983,3143,4142,4145,4208,4362,7497,7579
1966,2145,3183,3309,3585,4492,5431,7154,8735
1980,3208,3350,3802,3940,4410,5092,7060,7158
2037,2588,3213,3462,3670,4162,5493,7418,7957
2039,3215,3308,3336,3893,3945,5518,7200,7546
