1286,1330,2446,5125,5337,6416,6559
2452,3590,6302,6694,8136,8290,8536
3888,5842,6033,6338,6445,7543,7911
1115,1659,2513,5280,8025,8190,8389,8829
1137,5043,5331,5498,6214,6392,6801,7584
1419,1567,2461,6426,7004,8139,8324,8660
1439,3915,5038,5629,6049,6470,7545,7915
1513,5338,5514,5736,6112,6246,6609,6932
1571,1651,2470,4999,8023,8165,8365,8756
1586,1660,2530,5630,7948,8033,8200,8413
1690,2419,4469,5148,5542,8063,8242,8427
1692,2569,5626,5663,6037,6674,7861,7878
1698,3146,5675,5711,6136,6478,7577,7579
1709,1729,5784,5823,6047,6346,8257,8305
3,776,1719,1942,4348,8167,8172,9401,9472
7,881,1726,3619,3943,7159,7172,9705,9788
8,76,1752,2720,4165,7759,7769,9857,9894
16,575,1766,2341,4931,7944,7949,9207,9271
22,239,1787,2906,3812,7645,7662,9929,9998
30,460,1797,3185,3669,7503,7515,9908,9933
36,318,1810,3797,3893,7139,7158,9911,9938
47,402,1811,2750,4035,7710,7729,9712,9804
48,900,1822,2520,3293,7821,7837,9859,9900
50,1120,1825,2910,3652,7625,7640,9574,9604
61,959,1830,3096,3720,7533,7541,9607,9653
62,721,1870,3029,3947,7546,7555,9609,9661
77,331,1875,1926,4644,8068,8131,9450,9498
111,809,1915,3295,4584,7394,7396,9213,9283
119,269,1918,3508,5223,7284,7290,9171,9218
120,441,1929,2813,3722,7624,7634,9827,9890
141,284,1937,4640,4803,6617,6643,9446,9489
152,592,1940,2591,3350,7734,7735,9927,9979
187,706,1941,3081,3560,7488,7490,9738,9809
191,438,1966,3080,4243,7468,7486,9548,9580
201,276,1980,2983,4388,7517,7520,9553,9582
229,803,1994,3083,3088,7457,7466,9925,9955
230,806,2039,2595,3804,7675,7691,9560,9600
245,707,2065,2940,3356,7497,7498,9814,9878
253,1770,2145,3226,3309,7309,7320,9321,9347
256,1782,2152,5129,5767,6011,6070,8395,8438
258,843,2187,2189,4181,7804,7820,9335,9383
264,293,2225,4118,5495,6100,6180,9641,9684
287,1398,2234,3679,4254,7041,7046,9000,9061
298,1908,2237,2748,6210,7501,7514,7770,7814
324,1113,2253,3766,4115,6978,7003,9188,9260
338,1057,2282,2981,4324,7365,7372,9116,9165
348,602,2284,3585,4225,6701,6790,9698,9767
351,1146,2299,2830,4691,7418,7453,8872,8940
361,495,2335,3835,4245,6651,6769,9630,9679
370,970,2360,3134,5812,5906,5922,9719,9807
376,1454,2368,3435,3495,7064,7073,9337,9398
386,821,2388,2905,4586,7348,7359,9080,9127
399,484,2401,3692,4222,6940,6967,9420,9475
406,1672,2451,2939,4036,7304,7306,8923,8963
423,2100,2454,2781,4260,7374,7391,8578,8639
443,965,2465,3459,3906,7029,7047,9333,9353
445,646,2467,2878,3592,7321,7334,9634,9683
455,846,2486,2923,3520,6980,7014,9873,9903
503,762,2524,3292,5092,7091,7093,8803,8840
509,2269,2568,2956,3143,7215,7261,9017,9062
556,584,2584,2972,4209,7210,7234,9306,9345
559,801,2647,3239,4634,7054,7060,8974,9032
562,1299,2649,3398,4272,6976,6977,8906,8961
581,657,2655,3670,3787,6817,6858,9452,9523
587,1428,2779,2842,5000,7179,7200,8470,8515
590,623,2786,2807,3636,7202,7205,9555,9596
599,2008,2836,4224,4938,6327,6613,8205,8250
608,668,2873,3274,4497,6918,6935,9099,9128
664,850,2963,2965,4492,7028,7044,8972,9022
691,1727,2970,4264,4408,6364,6402,8575,8599
699,1256,3132,3778,4410,6188,6270,9103,9164
751,842,3178,5431,5661,5730,5764,8296,8347
774,1731,3264,3598,4951,5888,5897,8930,8967
823,1476,3336,4560,5439,5590,5635,8543,8598
885,1539,3820,4139,4848,5659,5673,8689,8748
902,2239,3334,4011,4948,5518,5523,8713,8812
904,1475,3815,4070,4751,5557,5622,8871,8935
906,1911,3588,4163,5219,5300,5318,8777,8818
917,1643,3204,4208,5013,5334,5445,9102,9134
