1695,200390,444978,898513,910162
5460,235306,363036,909760,942214
215165,399617,516835,538591,599518
4313,372148,515743,767956,795572
4357,75688,453587,944757,977351
4954,258688,556975,811929,823223
5892,111585,393123,964239,980898
6932,51209,638083,873412,886147
9854,33545,598217,900088,914048
10114,226459,408303,899330,911586
10116,250235,343556,915155,936729
11293,474349,483823,733356,752956
11971,146617,346928,963485,986723
13768,74579,664105,833006,870282
13897,117169,337027,988194,999443
14304,164894,331741,963942,980887
14505,283926,440676,852746,863917
14580,414451,440488,784409,801808
15236,285231,390597,876735,887985
17090,122441,462461,920030,933743
17199,25605,644438,877345,891143
17481,111523,704049,796050,826672
18900,28133,727155,833602,847948
19223,527068,585660,648052,675727
19376,46227,608880,885004,896294
19459,76142,456116,947273,956756
20053,82837,500080,919939,932851
20491,468493,481050,715071,770644
21848,216013,500656,852786,864459
22630,155671,378619,921683,977142
22743,52703,482218,944072,953993
25086,204827,399762,902815,923242
26297,251799,413886,859120,904665
28712,63769,408127,966294,988872
28981,63868,536228,908265,918441
29098,268297,395294,876686,886358
29255,91531,363102,982708,989141
29533,249677,295986,936145,944443
35223,101925,466058,915712,936809
36360,333811,534557,763244,787764
36941,149787,281196,987957,999843
37345,241502,400507,882363,894048
37433,253634,489291,825086,850332
38591,206660,314348,938945,957225
38708,502804,598172,627374,667190
39020,248674,512077,816116,839854
39088,74003,364553,983525,994598
41224,114233,363903,960134,976266
41420,90244,423712,944914,955496
44939,58333,527408,902437,922647
45736,86532,522167,884200,917118
46056,123700,466139,903402,916442
46068,207880,443790,872900,885132
47596,86921,403687,943464,974088
52432,83714,404419,954851,960330
54523,138822,287027,978239,997153
61556,102343,607706,812866,871273
62812,231052,299906,923944,938059
64589,516345,540030,635151,668835
64832,149394,315080,957797,968669
65394,343329,451931,787104,808017
66157,191476,343000,920788,934359
66256,379342,535770,704713,769654
68013,194198,275524,954915,963123
68627,552785,568375,616607,649397
68888,77693,330763,980020,998414
69638,531610,537610,609485,707399
69741,282245,369480,861700,872592
71123,82762,353541,958023,990322
71686,291227,548642,758773,785454
74516,237703,463750,826453,853344
79735,121661,314534,957586,982256
81832,123939,623838,801566,824555
84459,127729,269349,983167,991053
85444,493140,555070,645219,676876
86576,150461,340051,930474,948214
86604,391339,591382,676755,709706
87741,163560,475343,858650,870432
88944,459257,535849,664978,706702
89008,148893,531312,836792,849740
91799,368235,406523,764664,824552
92644,249613,403771,841816,867944
93407,158896,682253,729831,791384
96797,172831,620933,768498,796689
99959,116706,306437,949775,982901
100929,194712,645382,744932,769804
100965,182298,441921,853588,876995
101539,331874,480121,758148,784060
102178,332189,587697,682584,751106
103917,254715,533462,777929,785736
106158,565183,590252,593862,600311
106424,474869,541547,637171,695775
107939,200501,481758,825471,840086
111238,130452,311760,945990,956344
111664,164736,229727,963304,986293
112691,432857,550375,635156,700013
114214,212421,264585,925888,938627
114993,336660,619921,688141,696014
115533,129802,228470,985498,996446
117047,221557,535816,782460,798846
117087,272492,333308,841825,891022
117391,173425,391738,879973,893210
117795,236494,470878,805182,825439
118402,289099,545940,745122,757188
118591,295970,591336,709538,740357
121937,159241,660342,733614,780656
123873,328031,464879,760303,778706
124423,157451,505644,821005,847215
124640,171448,267892,943225,948545
127389,222296,623623,712367,770086
128989,305749,624598,637966,758462
129969,152203,628647,759324,785647
130455,193535,316691,900404,914699
130554,413952,458544,707169,745516
138854,208242,598099,739607,770966
140292,477719,530345,618383,689026
140785,441095,579473,620446,673969
141901,401284,506324,678680,727585
144600,182354,404773,853787,870214
146026,332231,612577,657205,707714
147315,209178,409070,820437,869766
149083,433954,474963,634476,763316
150244,203371,474289,808016,819869
151101,319424,581036,648899,755292
154771,526209,566755,576942,631111
156734,178820,244644,928121,947451
157813,225684,647757,707701,716796
158259,175036,392908,835306,894262
158589,209013,641516,693822,752812
159647,315928,577774,683639,718764
164225,306688,533524,709571,741720
166948,222737,559870,735934,770268
167340,481493,526426,552120,703677
171986,254657,532317,730788,766038
172039,350800,537734,647181,731059
172624,228250,565748,720980,768129
174644,280688,506171,704947,789287
179290,214133,245516,897369,919432
179738,322753,394262,765874,793106
180954,340580,490997,703446,739802
181958,449869,491194,648813,683947
183109,194692,413075,810812,854092
185195,336583,435343,734776,763867
186541,314073,584742,634802,735568
188047,461903,575293,597663,632867
188877,283319,401681,765863,816041
189260,417436,427177,691864,730024
190480,390325,430389,692097,752486
195057,360159,557291,645637,697590
198037,321637,443218,727922,764933
198858,224327,332146,838420,862037
203691,511845,512514,591368,636368
204328,209993,410098,810637,820728
206467,287846,569693,634604,757154
206548,233009,383834,783329,849064
208856,284706,363296,793428,805461
211154,279332,442727,733754,788766
211181,367770,486995,678339,711446
213039,234642,401440,791342,815319
217757,361914,619040,622015,635061
217812,257859,598501,686210,695355
220235,422986,491720,616372,704429
221380,487180,569992,580771,596466
227873,316562,431901,719261,760142
237663,293991,327254,777801,819018
238217,472515,527994,581209,635846
238308,257895,286388,829775,843417
238760,308149,366777,744404,797661
242056,302469,321238,790015,799965
249060,327579,610386,613523,638402
250838,319602,405241,723212,756841
251242,455589,528921,582569,637434
252860,290131,547452,652893,712424
254515,358278,554971,619507,668474
258631,344477,359902,711138,781641
266351,407285,498164,584806,699143
266765,387288,548405,562484,690805
286179,398184,491320,631259,648849
290991,369815,393475,654792,746659
297259,320129,531634,563766,742950
297551,440885,455066,619201,643023
304201,306445,484521,664181,696441
306411,413623,490161,594375,651158
308126,359299,379007,686965,722328
322722,390893,484947,520034,737174
328675,403101,439413,637566,646997
328768,418219,449643,621673,637426
332662,418790,502563,565611,636102
