3713,3974,4994,5219,6100
986,1895,4364,4423,4448,4570,4659,8323,8373
989,1190,4433,4660,5786,6615,6939,8657,8731
1027,1096,3441,4672,6380,6412,6536,9183,9253
1031,2419,4919,4951,5086,5217,5318,7724,7740
1038,1567,3940,4990,5576,6447,6987,8704,8751
1068,1860,3945,4999,6053,6287,6661,8540,8587
1115,2266,3414,5013,5922,6270,6790,8577,8628
1137,2103,3183,5038,6234,6302,6426,8760,8817
1160,1913,3936,5043,5629,6445,6883,8473,8518
1167,2446,4117,5081,6155,6359,6405,8122,8148
1170,1764,3462,5125,5814,6096,6965,8756,8848
1203,1386,4793,5148,5489,6425,6938,8290,8328
1223,1439,3310,5161,5926,6112,6801,8985,9043
1269,1651,4039,5185,5665,6470,6680,8505,8536
1286,1735,4009,5229,5801,6033,6937,8462,8508
1287,2362,5240,5362,5521,6394,7004,7383,7447
1325,2096,4740,5280,5512,6514,6694,7891,7948
1327,1797,4848,5331,5910,6200,6559,7992,8036
1330,2786,4783,5337,5610,6268,6785,7517,7584
1397,1698,3292,5338,5813,6167,6682,8784,8829
1419,2830,4383,5431,5492,5523,5750,7634,7734
1426,1634,4133,5458,5736,6392,6414,8381,8426
1451,2237,3459,5460,5884,5914,6742,8413,8440
1491,2679,4224,5493,5871,5941,6695,7785,7821
1513,1940,4528,5496,5630,5942,6932,7986,8033
1514,1710,4486,5498,5748,6338,6416,8125,8165
1528,2451,3440,5503,5906,6188,6402,8257,8324
1531,1929,4948,5514,6049,6191,6246,7772,7820
1571,2465,3080,5542,5889,6261,6308,8425,8459
1581,1766,4886,5547,6081,6158,6214,7856,7911
1586,2145,4070,5557,5767,5888,6651,8063,8136
1607,1937,4249,5563,5621,6207,6609,8068,8139
1610,1709,5590,5626,5663,6037,6674,7514,7577
1619,1941,4652,5675,5711,6136,6478,7839,7949
1637,2225,4362,5784,5823,6047,6346,7861,7915
3,776,1647,1825,3858,4348,8305,8365,9401,9472
7,881,1659,2835,3619,4061,7710,7735,9705,9788
8,76,1660,3029,4165,4245,7520,7546,9857,9894
16,575,1661,1873,4469,4931,7972,8025,9207,9271
22,239,1678,2449,3812,4751,7543,7579,9929,9998
30,460,1690,2899,3018,3669,8167,8226,9908,9933
36,318,1692,2253,2660,3797,8660,8735,9911,9938
47,402,1719,1926,4035,4162,8062,8131,9712,9804
48,900,1726,2530,3293,3343,8172,8229,9859,9900
50,1120,1729,2649,3179,3652,8200,8243,9574,9604
61,959,1752,2454,3720,4508,7624,7662,9607,9653
62,721,1787,1994,3947,5445,7284,7490,9609,9661
77,331,1810,2965,3274,4644,7957,7994,9450,9498
111,809,1811,2905,4584,4896,7154,7234,9213,9283
119,269,1822,1980,3766,5223,8190,8242,9171,9218
120,441,1830,2781,3722,3929,7691,7769,9827,9890
141,284,1870,2039,3275,4640,8389,8427,9446,9489
152,592,1875,2569,3350,3915,7804,7837,9927,9979
187,706,1915,2187,3560,4410,7729,7759,9738,9809
191,438,1918,2520,4243,4550,7497,7515,9548,9580
201,276,1942,3607,3932,4388,7215,7304,9553,9582
229,803,1966,2836,3088,3215,7960,8023,9925,9955
230,806,2037,2208,3804,5158,7179,7418,9560,9600
245,707,2065,3356,3410,3955,7261,7309,9814,9878
253,1770,2152,3309,3508,3590,7359,7391,9321,9347
256,1782,2189,3352,4241,5129,7046,7172,8395,8438
258,843,2234,2265,3679,4181,7878,7944,9335,9383
264,293,2249,2360,4118,5635,6617,7139,9641,9684
287,1398,2282,3213,4254,4385,7047,7073,9000,9061
298,1908,2284,2970,5622,6070,6210,7054,7770,7814
324,1113,2299,2765,4115,4731,7003,7202,9188,9260
338,1057,2335,2601,4324,4815,7044,7205,9116,9165
348,602,2341,2878,3585,3943,7372,7466,9698,9767
