5888,6011
5889,6033
5922,6037
5926,6047
5941,6049
5942,6053
5910,6070
5914,6081
5897,6096
5884,6100
5814,6112
5786,6136
5842,6155
5813,6158
5823,6167
5801,6180
5730,6191
5748,6200
5767,6207
5784,6210
5750,6214
5764,6234
5673,6246
5736,6261
5711,6268
5661,6270
5663,6287
5665,6302
5675,6308
5635,6338
5610,6359
5129,6392
5590,6394
5563,6405
5514,6412
5518,6414
5576,6416
5547,6425
5557,6426
5521,6445
5542,6447
5523,6470
5503,6478
5460,6536
5439,6559
5331,6615
5334,6617
5337,6643
5300,6651
5318,6661
5217,6674
5280,6680
5219,6682
5229,6695
5223,6769
5148,6785
5158,6790
5185,6801
5161,6817
5130,6858
5095,6883
5081,6918
5043,6937
5038,6940
5018,6965
4999,6976
5013,6977
5000,6987
4990,7003
4994,7004
4947,7044
4948,7046
4951,7047
4938,7054
4848,7068
4919,7074
4886,7093
4896,7096
4815,7139
4803,7172
4731,7179
4783,7205
4740,7210
4751,7234
4690,7261
4652,7284
4659,7290
4689,7304
4691,7306
4667,7309
4644,7320
4672,7321
4660,7334
4557,7348
4640,7359
4634,7365
4569,7391
4584,7394
4586,7396
4550,7447
4115,7453
4528,7468
4139,7486
4508,7490
4486,7498
4497,7501
4492,7503
4469,7517
4479,7520
4378,7533
4383,7541
4388,7543
4423,7545
4448,7546
4433,7555
4408,7579
4410,7584
4362,7625
4364,7634
4243,7640
4348,7645
4324,7675
4272,7724
4268,7729
4249,7734
4264,7735
4260,7737
4254,7740
4222,7769
4224,7770
4225,7772
4209,7785
4181,7814
4163,7820
4165,7821
4162,7837
4145,7839
4142,7856
4136,7861
4118,7878
4070,7915
3947,7944
4035,7949
4036,7957
4039,7960
4009,7972
4011,7986
3974,8025
3955,8033
3962,8036
3934,8062
3936,8063
3929,8068
3858,8139
3835,8148
3812,8165
3815,8167
3820,8172
3804,8190
3797,8200
3791,8205
3766,8229
3679,8296
3692,8305
3669,8324
3670,8328
3652,8347
3619,8373
3598,8395
3585,8413
3560,8438
3508,8470
3520,8473
3495,8492
3489,8508
3457,8531
3462,8536
3459,8540
3441,8543
3414,8578
3410,8587
3398,8599
3356,8639
3336,8660
3275,8713
3226,8756
3183,8803
3185,8812
3182,8817
3179,8818
3146,8840
3147,8848
3125,8872
3047,8940
2983,9000
2981,9017
2972,9022
2965,9032
2956,9043
2934,9062
2910,9080
2899,9099
2873,9103
2878,9116
2842,9134
2835,9164
2825,9171
2813,9183
2807,9188
2779,9207
2781,9218
2720,9271
2647,9333
2655,9335
2660,9337
2649,9345
2652,9347
2609,9383
2601,9398
2595,9401
2569,9420
2530,9452
2524,9475
2486,9498
2451,9548
2446,9553
2419,9580
2401,9596
2398,9600
2372,9607
2368,9630
2362,9634
2335,9661
2299,9698
2282,9705
2269,9719
2225,9767
2208,9788
2187,9807
2189,9809
2100,9890
2103,9894
119,2096,9738
245,4285,7457
298,4245,7418
762,3607,7624
806,4570,6613
821,1203,9903
959,1731,9283
1137,1647,9213
1439,1763,8784
1451,1766,8777
1475,2253,8257
1491,2786,7719
1619,1692,8689
1719,3310,6967
1770,1830,8389
1797,3215,6980
1825,2465,7710
1941,3722,6327
1764,5092,5118
1120,5431,5445
986,5489,5492
