8661
3018,8171,9989
3035,8287,9856
3058,8178,9942
3069,8235,9874
3083,8922,9173
3100,8372,9706
3101,8766,9311
3108,8208,9862
3181,8395,9602
3186,8122,9870
3200,8027,9951
3215,8486,9477
3221,8390,9567
3238,8476,9464
3239,8209,9730
3282,8924,8972
3299,7929,9950
3301,8101,9776
3337,8654,9187
3343,7962,9873
3344,8664,9170
3390,8355,9433
3437,8143,9598
3476,7872,9830
3490,7743,9945
3508,7837,9833
3646,7595,9937
3654,8734,8790
3668,8292,9218
3734,8297,9147
3752,7820,9606
3753,8596,8829
3777,7537,9864
3805,7926,9447
3817,8234,9127
3843,8041,9294
3850,7474,9854
3888,7505,9785
3892,8019,9267
3906,8537,8735
3923,8420,8835
3930,7543,9705
3941,7946,9291
3943,7565,9670
3948,8577,8653
3999,7582,9597
4034,7524,9620
4050,7331,9797
4064,7523,9591
4089,7494,9595
4163,8483,8532
4165,7998,9015
4176,7286,9716
4221,7559,9398
4238,6983,9957
4242,7773,9163
4261,8294,8623
4265,7182,9731
4270,7119,9789
4304,7026,9848
4305,7197,9676
4314,6869,9995
4318,7174,9686
4375,6940,9863
4386,7948,8844
4394,7029,9755
4406,7347,9425
4429,7480,9269
4491,6929,9758
4520,7681,8977
4566,7352,9260
4575,7209,9394
4587,7579,9012
4611,6671,9896
4618,7022,9538
4683,7623,8872
4693,6911,9574
4745,7011,9422
4757,6731,9690
4803,6864,9511
4820,7612,8746
4823,7439,8916
4861,7748,8568
4868,7420,8890
4900,6372,9906
4921,7665,8096
4937,6249,9992
4941,7780,8457
4971,7561,8646
4974,7417,8787
4977,6334,9867
4989,7321,8868
4994,7953,8231
5018,7413,8747
5037,7163,8978
5044,6223,9911
5050,7025,9100
5051,6588,9539
5057,8016,8105
5065,7353,8760
5074,7693,8411
5082,7391,8705
5096,6380,9702
5124,6419,9635
5134,7957,8087
5145,7001,9032
5149,7349,8680
5150,6133,9895
5154,6815,9209
5159,7431,8588
5166,6847,9165
5173,7809,8196
5233,6896,9049
5234,7725,8219
5242,6399,9537
5250,6708,9220
5257,6713,9208
5261,7378,8539
5262,6614,9302
5263,7658,8257
5268,7784,8126
5271,7608,8299
5278,7117,8783
5293,7131,8754
5296,7384,8498
5340,6423,9415
5351,6222,9605
5404,7193,8575
5408,6668,9102
5414,7271,8493
5418,7511,8249
5428,5921,9829
5454,6726,8940
5463,7338,8377
5470,6889,8819
5478,6980,8720
5481,7273,8424
5486,6574,9118
5498,7062,8618
5507,7567,8104
5521,7632,8025
5523,5922,9729
5546,7245,8387
5547,7455,8170
5558,7220,8400
5563,7322,8278
5578,7742,7858
5580,7552,8046
5588,6974,8616
5604,6496,9078
5622,6112,9444
5626,6656,8896
5645,6486,9047
5652,7679,7847
5659,7008,8511
5683,7367,8128
5684,7705,7789
5694,6684,8800
5705,7611,7862
5707,6254,9217
5715,6238,9225
5723,6721,8732
5724,5934,9520
5745,7405,7994
5750,6230,9198
5795,6366,9017
5808,6823,8547
5827,6792,8559
5828,6378,8971
5834,7070,8274
5835,6771,8572
5867,6384,8927
5880,6350,8948
5884,7416,7878
5893,6109,9176
5902,6552,8724
5925,7088,8165
5933,7077,8168
5954,6507,8717
5970,6613,7663
5978,6049,8915
5982,6341,8855
5984,7082,8112
5996,7568,7614
5999,7432,7747
6030,6543,8605
6040,6767,8371
6050,6910,8218
6057,6523,8598
6092,6316,8770
6106,6321,8751
6114,6624,8440
6117,7484,7577
6121,7344,7666
6124,6272,8772
6135,6346,8697
6177,6702,8296
6199,7177,7802
6215,7329,7634
6219,6730,8229
6247,6317,8614
6257,7054,7867
6274,7104,7800
6275,6520,8381
6293,7365,7520
6332,6813,8033
6365,6575,8238
6368,7303,7507
6377,6478,8323
6381,6526,8271
6414,6988,7771
6436,6954,7788
6499,6510,8167
6503,6655,8020
6536,6941,7701
6540,6805,7833
6585,6647,7944
6753,6862,7563
6783,6842,7553
6861,6944,7373
6865,7028,7285
3011,3302,5453,9412
3026,3366,5034,9752
3041,4026,4788,9323
3048,3940,4791,9399
3053,4198,4793,9134
3054,3555,5128,9441
3064,3236,5297,9581
3065,3706,5321,9086
3088,3361,4864,9865
3112,3713,4879,9474
3122,3171,4993,9892
3124,3392,4926,9736
3125,3738,4899,9416
3131,3695,4530,9822
3151,3384,5634,9009
3166,3420,4670,9922
3172,4018,5102,8886
3193,3986,4711,9288
3224,3557,5237,9160
3270,3677,4894,9337
3283,3518,4995,9382
3290,3470,4998,9420
3310,4093,4722,9053
3332,4250,4481,9115
3347,3551,4344,9936
3378,3608,5111,9081
3386,4225,5232,8335
3394,4212,4389,9183
3406,3933,4155,9684
3413,3937,5562,8266
3431,4599,4760,8388
3450,4152,4360,9216
3473,4260,4403,9042
3479,4384,5175,8140
3486,4415,5033,8244
3489,4271,4568,8850
3494,3614,4878,9192
3506,3827,4555,9290
3514,3793,4768,9103
3519,3852,4872,8935
3543,4161,4615,8859
3549,3578,4715,9336
3565,3966,4120,9527
3569,4430,4663,8516
3585,3719,5339,8535
3593,4042,4170,9373
3599,4172,5485,7922
3619,4953,5713,6893
3633,4414,4500,8631
3658,4980,5813,6727
3669,3887,4494,9128
3680,4204,4600,8694
3692,4426,4774,8286
3751,3898,4490,9039
3797,4019,5212,8150
3828,4562,5020,7768
3869,4985,5225,7099
3889,4480,4896,7913
3911,5002,5733,6532
3931,4217,4724,8306
3996,4190,6010,6982
4023,4252,5221,7682
4038,4923,6016,6201
4057,4705,5944,6472
4091,4741,5430,6916
4117,5343,5655,6063
4126,4178,4280,8594
4131,4294,4336,8417
4135,4447,6055,6541
4151,4356,5207,7464
4272,4612,4940,7354
4295,5480,5647,5756
4362,4654,5656,6506
4372,5103,5422,6281
4433,5118,5529,6098
4517,5073,5504,6084
4549,4579,5909,6141
4629,5335,5603,5611
4635,4906,5241,6396
4636,5141,5549,5852
4688,5136,5501,5853
4720,4808,5609,6041
4786,5410,5460,5522
4805,5114,5568,5691
